Temp,Humid,Wind_Spd,Vis,Press,Weather
13.8,94,4,32.2,102.04,Mainly Clear
13.4,90,3,32.2,101.98,Mainly Clear
18.1,74,9,40.2,101.94,Mainly Clear
19.6,69,11,40.2,101.82,Clear
20.6,73,12,40.2,101.61,Clear
22.5,65,13,40.2,101.36,Clear
21,76,8,32.2,101.14,Clear
17.5,91,6,32.2,101.06,Clear
16.9,91,9,32.2,101.08,Clear
14.4,96,7,32.2,101.15,Clear
19.9,72,3,48.3,101.24,Mainly Clear
20.8,73,14,48.3,101.31,Mainly Clear
25.8,47,17,48.3,101.24,Mainly Clear
28.1,43,13,48.3,101.09,Mainly Clear
23.1,56,18,32.2,101.05,Mainly Clear
18.3,81,8,24.1,101.11,Mainly Clear
16.5,80,13,24.1,101.21,Mostly Cloudy
14.8,86,16,32.2,101.28,Mostly Cloudy
15.2,86,13,48.3,101.38,Rain
15.4,81,16,48.3,101.45,Mostly Cloudy
20.3,64,15,48.3,101.42,Mostly Cloudy
19.6,75,15,48.3,101.38,Mostly Cloudy
20.8,72,16,48.3,101.27,Mainly Clear
19.9,68,7,48.3,101.17,Clear
15.4,65,20,24.1,101.25,Clear
12.7,74,23,24.1,101.35,Clear
11.1,82,24,32.2,101.46,Mainly Clear
12.8,73,26,48.3,101.59,Mostly Cloudy
15.8,61,19,48.3,101.74,Mostly Cloudy
16.7,62,15,48.3,101.74,Rain
16.8,58,13,48.3,101.74,Rain
16.6,57,12,40.2,101.67,Cloudy
14.1,69,10,11.3,101.52,Rain
13.2,87,11,19.3,101.45,Rain
13.2,85,9,24.1,101.39,Cloudy
12.7,90,5,24.1,101.34,Rain
12.6,88,5,24.1,101.29,Rain
12.4,87,9,24.1,101.23,Cloudy
10.7,96,12,24.1,101.14,Mostly Cloudy
12.7,84,14,32.2,101.13,Mostly Cloudy
15.1,63,21,48.3,101.21,Mostly Cloudy
16.8,56,17,48.3,101.33,Rain Showers
15.2,63,16,48.3,101.43,Mostly Cloudy
14.3,55,27,32.2,101.45,Mainly Clear
12.8,58,30,24.1,101.55,Mostly Cloudy
11.8,68,17,24.1,101.59,Mostly Cloudy
9.7,74,17,24.1,101.49,Mostly Cloudy
11.1,74,19,32.2,101.44,Mostly Cloudy
11.7,71,17,32.2,101.32,Cloudy
11,81,18,32.2,101.28,Rain
11.2,75,20,32.2,101.22,Rain
11.8,70,24,32.2,101.19,Cloudy
11.9,81,21,32.2,101.16,Rain
11.7,81,19,32.2,101.11,Rain Showers
11,81,19,32.2,101.09,Rain
11.1,82,19,32.2,101.07,Rain
10,88,18,16.1,101.05,Moderate Rain
10.1,88,18,24.1,101,Rain
9.9,84,16,24.1,100.99,Rain
9.5,90,17,32.2,100.98,Cloudy
9.4,90,12,24.1,101.04,Rain
9.4,93,8,19.3,101.08,Rain Showers
9.2,93,22,19.3,101.14,Moderate Rain
9,92,15,24.1,101.17,Mostly Cloudy
9.7,86,13,32.2,101.34,Mostly Cloudy
10.3,80,11,32.2,101.38,Rain
12.3,68,8,40.2,101.4,Mostly Cloudy
14.8,69,16,40.2,101.4,Mainly Clear
14.7,59,19,40.2,101.36,Mainly Clear
13.5,58,9,40.2,101.33,Mainly Clear
11.4,68,5,32.2,101.35,Mainly Clear
9.3,78,3,32.2,101.36,Mainly Clear
7.5,86,2,40.2,101.38,Clear
12.3,68,2,40.2,101.44,Mainly Clear
13.9,76,14,40.2,101.46,Mainly Clear
15.9,65,14,40.2,101.46,Mainly Clear
17.3,48,8,40.2,101.46,Mainly Clear
15.3,62,10,40.2,101.55,Mainly Clear
12.9,77,3,32.2,101.68,Mainly Clear
12.2,80,10,24.1,101.72,Mostly Cloudy
12.3,85,4,32.2,101.75,Rain
12.2,81,15,24.1,101.81,Rain
12.4,84,18,48.3,101.91,Mostly Cloudy
14.3,55,15,48.3,101.96,Mainly Clear
17.3,52,17,48.3,101.9,Mainly Clear
16.9,51,17,48.3,101.88,Mainly Clear
14.2,68,9,32.2,101.88,Mainly Clear
11.6,77,5,24.1,101.83,Clear
10.2,75,3,24.1,101.8,Mainly Clear
10.2,81,7,32.2,101.87,Mostly Cloudy
11.9,77,4,32.2,101.94,Mostly Cloudy
